school_code,school_name,province,district,Sector,school_location,school_status,school_settings,perc_with_50andplus,on_grid_electricity,has_internet,has_computer_access,avg_classroom_size_2024_25,double_shift,Leadership_marks_avg,Num_leader_records
560403,FUKWE,East,Ngoma,Kazo,RURAL,PUBLIC,Preprimary + Primary,67.82178497314453,,1,0.0,64.0,0.0,70.8043351302785,1.0
560406,GSMULINJA,East,Ngoma,Kazo,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,33.22784805297852,1.0,1,1.0,58.0,0.0,73.0255040682719,2.0
560407,GSKAZO,East,Ngoma,Kazo,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,83.48709106445312,1.0,1,1.0,58.0,0.0,83.27238830033394,2.0
560409,GS GAHURIRE  TSS,East,Ngoma,Kazo,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level + TVET,77.57437133789062,1.0,1,0.0,64.0,1.0,87.94695586335561,2.0
560410,GS KIBIMBA,East,Ngoma,Kazo,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,49.58813858032227,1.0,1,1.0,58.0,0.0,78.10939878094894,2.0
560411,EP TAMBIRO,East,Ngoma,Kazo,RURAL,PUBLIC,Preprimary + Primary,71.33551025390625,1.0,1,0.0,64.0,0.0,82.1448113207547,1.0
560505,GS GAHIMA  TSS,East,Ngoma,Kibungo,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary + TVET,64.10256958007812,1.0,1,1.0,58.0,0.0,74.91761735689059,2.0
560506,GS KABEZA,East,Ngoma,Kibungo,URBAN,PUBLIC,Preprimary + Primary + Ordinal Level,51.40997695922852,1.0,1,1.0,64.0,0.0,69.87358956101775,2.0
560507,GS KIBUNGO A,East,Ngoma,Kibungo,URBAN,GOVERNMENT_AIDED,Primary + Ordinal Level + General upper secondary,71.99504089355469,1.0,1,0.0,58.0,0.0,78.31576859249515,2.0
560510,LES GAZELLES,,,,,,,100.0,,0,,,,,
560511,LES HIRONDELLES,East,Ngoma,Kibungo,URBAN,PRIVATE,Preprimary + Primary,100.0,1.0,1,0.0,32.0,0.0,,
560512,GS RUBONA  TSS,East,Ngoma,Kibungo,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level + TVET,68.86075592041016,1.0,1,1.0,64.0,0.0,77.51088853139885,2.0
560514,UMUCYO FRIENDLY SCHOOL,East,Ngoma,Kibungo,URBAN,PRIVATE,Preprimary + Primary,93.54838562011719,1.0,1,0.0,32.0,0.0,,
560518,ASPEK PRIMARY SCHOOL,East,Ngoma,Kibungo,URBAN,PRIVATE,Preprimary + Primary,100.0,1.0,1,0.0,32.0,0.0,,
560520,EP MURIZA,East,Ngoma,Kibungo,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,52.59259414672852,1.0,1,0.0,58.0,0.0,68.084424226493,1.0
560601,EP KABINDI,,,,,,,57.60869216918945,,0,,,,76.19848367364521,1.0
560602,EP KAGASHI,East,Ngoma,Mugesera,RURAL,PUBLIC,Preprimary + Primary,68.58457946777344,1.0,1,0.0,64.0,1.0,,
560603,GS KIBARE I,East,Ngoma,Mugesera,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,53.67964935302734,1.0,1,1.0,64.0,0.0,67.1100981595455,1.0
560604,GSGatare,East,Ngoma,Mugesera,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,61.07491683959961,,1,0.0,64.0,0.0,81.92879368389904,2.0
560605,GS NYANGE,East,Ngoma,Mugesera,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary + TVET,80.0395278930664,1.0,1,1.0,58.0,0.0,81.39927366308925,2.0
560606,GSNTAGA,East,Ngoma,Mugesera,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,63.13364028930664,,1,1.0,64.0,0.0,75.2874934040702,1.0
560608,EP NYAMIRAMBO,,,,,,,79.38143920898438,,0,,,,76.5429328037074,1.0
560702,E P  RURENGE CATHOLIQUE,East,Ngoma,Murama,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,45.34161376953125,1.0,1,0.0,58.0,0.0,,
560705,G S   GAHAMA,East,Ngoma,Murama,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,81.89369201660156,1.0,1,0.0,64.0,0.0,71.67945268962495,2.0
